name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,reach_to_height
Robert Drysdale,7,0,0,190.5,92.99,195.41873015873017,Orthodox,0.0,0.0,0.0,0.0,7.32,100.0,0.0,21.9,1.025820105820106
Daniel McWilliams,15,37,0,185.42,83.91,190.05953757225436,Orthodox,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6,1.0250217752791198
Dan Molina,13,9,0,177.8,97.98,182.0296035242291,Orthodox,0.0,0.0,5.58,60.0,0.0,0.0,0.0,20.9,1.0237885462555065
Paul Ruiz,7,4,0,167.64,61.23,171.26154838709675,Orthodox,1.4,33.0,1.4,75.0,0.0,0.0,100.0,20.9,1.0216031280547408
Collin Huckbody,8,2,0,190.5,83.91,193.04,Orthodox,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,1.0133333333333332
Gerald Strebendt,9,7,0,175.26,70.31,180.1527188940092,Orthodox,0.0,0.0,4.0,38.0,0.0,0.0,0.0,16.4,1.0279169171174782
Isaiah Hill,5,7,1,177.8,70.31,182.0296035242291,Orthodox,4.84,50.0,0.97,80.0,0.0,0.0,66.0,14.5,1.0237885462555065
Kenneth Seegrist,4,7,0,182.88,83.91,187.28926406926408,Orthodox,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,1.0241101491101492
Will Kerr,9,3,0,177.8,70.31,175.26,Orthodox,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,0.9857142857142857
Neil Grove,12,8,1,198.12,120.2,201.12181818181818,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.3,1.0151515151515151
Raphael Butler,9,2,1,190.5,118.39,195.41873015873017,Orthodox,4.69,45.0,0.94,91.0,0.0,0.0,100.0,14.1,1.025820105820106
Bo Nickal,5,0,0,185.42,83.91,193.04,Southpaw,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,1.0410958904109588
Ian Entwistle,9,3,0,165.1,61.23,168.14800000000002,Orthodox,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1,1.0184615384615388
Megumi Fujii,26,3,0,160.02,51.26,161.82622222222224,Orthodox,2.4,42.0,0.0,100.0,0.0,0.0,0.0,12.0,1.0112874779541448
Gaston Reyno,6,2,0,182.88,65.77,187.28926406926408,Orthodox,7.79,62.0,3.9,44.0,0.0,0.0,0.0,11.7,1.0241101491101492
Kenny Ento,14,15,0,187.96,87.09,192.34385185185187,Orthodox,8.41,79.0,0.0,100.0,5.49,100.0,0.0,11.0,1.0233233233233234
AJ McKee,8,0,0,177.8,65.77,182.0296035242291,Orthodox,2.75,32.0,0.92,80.0,11.01,100.0,100.0,11.0,1.0237885462555065
Westin Wilson,16,8,0,185.42,65.77,185.42,Southpaw,1.38,50.0,7.59,26.0,0.0,0.0,0.0,10.3,1.0
Philip Perez,7,5,1,165.1,70.31,168.14800000000002,Southpaw,1.36,100.0,0.68,66.0,10.23,100.0,0.0,10.2,1.0184615384615388
Brandon Shuey,7,6,0,170.18,70.31,174.71661691542292,Orthodox,0.68,33.0,1.36,0.0,0.0,0.0,0.0,10.2,1.026657755996139
Dave Phillips,13,7,0,182.88,83.91,187.28926406926408,Orthodox,0.0,0.0,2.0,25.0,0.0,0.0,0.0,10.0,1.0241101491101492
Johnny Sampaio,3,1,0,172.72,77.11,177.244375,Orthodox,1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,1.0261948529411764
Dione Barbosa,6,2,0,167.64,56.7,167.64,Orthodox,0.87,50.0,0.65,66.0,3.27,100.0,0.0,9.8,1.0
Zach Reese,6,1,0,193.04,83.91,195.58,Switch,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,1.0131578947368423
Rodrigo Gripp de Sousa,7,9,0,180.34,92.99,184.94287292817683,Orthodox,0.48,23.0,4.81,52.0,0.0,0.0,0.0,9.6,1.0255233055793325
Justin Burlinson,6,1,0,185.42,77.11,187.96,Switch,1.24,40.0,3.09,61.0,0.0,0.0,100.0,9.3,1.0136986301369864
Poppies Martinez,29,11,0,175.26,65.77,180.1527188940092,Orthodox,2.88,50.0,2.16,51.0,1.54,33.0,50.0,9.2,1.0279169171174782
Josh Rafferty,9,8,0,182.88,77.11,187.28926406926408,Orthodox,0.6,33.0,3.6,50.0,0.0,0.0,0.0,9.0,1.0241101491101492
Daniel Puder,8,0,0,190.5,106.59,195.41873015873017,Orthodox,2.77,68.0,1.17,38.0,1.21,50.0,81.0,9.0,1.025820105820106
Yukio Sakaguchi,6,7,0,175.26,83.91,180.1527188940092,Orthodox,0.3,25.0,2.4,50.0,4.5,100.0,0.0,9.0,1.0279169171174782
Magomed Sultanakhmedov,18,6,0,187.96,83.91,192.34385185185187,Southpaw,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,1.0233233233233234
Jeff Newton,4,2,0,187.96,92.99,192.34385185185187,Sideways,0.28,20.0,1.41,52.0,0.0,0.0,0.0,8.5,1.0233233233233234
Emiliano Sordi,16,7,0,187.96,92.99,192.34385185185187,Orthodox,4.79,50.0,4.79,48.0,0.0,0.0,100.0,8.3,1.0233233233233234
